striker,batting_team,runs_off_bat
"LD Chandimal","Sri Lanka",3730
"AJ Strauss",England,3729
"RR Sarwan","West Indies",3717
"R Dravid",India,3608
"A Symonds",Australia,3589
"JM Bairstow",England,3548
"GJ Maxwell",Australia,3490
"E Chigumbura",Zimbabwe,3333
"Fakhar Zaman",Pakistan,3273
"AN Cook",England,3204
"HDRL Thirimanne","Sri Lanka",3194
"Rahmat Shah",Afghanistan,3193
"WTS Porterfield",Ireland,3189
"SB Styris","New Zealand",3184
"BA Stokes",England,3167
"BKG Mendis","Sri Lanka",3164
"Umar Akmal",Pakistan,3134
"CR Ervine",Zimbabwe,3082
"MDKJ Perera","Sri Lanka",3056
"GJ Bailey",Australia,3034
"BJ Haddin",Australia,3023
"DM Bravo","West Indies",3007
Imam-ul-Haq,Pakistan,2976
"AM Rahane",India,2962
"A Balbirnie",Ireland,2878
"T Taibu",Zimbabwe,2827
"IJL Trott",England,2819
"DJ Bravo","West Indies",2760
"Kamran Akmal",Pakistan,2746
"RS Bopara",England,2689
"KA Pollard","West Indies",2643
"SE Marsh",Australia,2622
"Ahmed Shehzad",Pakistan,2605
"RA Jadeja",India,2601
"MV Boucher","South Africa",2470
"KJ Coetzer",Scotland,2468
"KJ O'Brien",Ireland,2444
"Mohammad Nabi",Afghanistan,2430
"AD Hales",England,2367
"Imrul Kayes",Bangladesh,2351
"NLTC Perera","Sri Lanka",2329
"Sarfraz Ahmed",Pakistan,2315
"Mohammad Ashraful",Bangladesh,2301
"Abdul Razzaq",Pakistan,2289
"SC Ganguly",India,2289
"CS MacLeod",Scotland,2277
"RD Berrington",Scotland,2267
"KL Rahul",India,2265
"Liton Das",Bangladesh,2250
"DR Martyn",Australia,2239
"JO Holder","West Indies",2237
"MM Ali",England,2214
"Salman Butt",Pakistan,2186
"MR Marsh",Australia,2135
"SP Fleming","New Zealand",2133
"CJ Chibhabha",Zimbabwe,2133
"D Ramdin","West Indies",2072
"TM Head",Australia,2064
"CL White",Australia,2053
"V Sibanda",Zimbabwe,2045
"A Flintoff",England,2033
"Najibullah Zadran",Afghanistan,1998
"ME Trescothick",England,1997
"N Pooran","West Indies",1983
"MS Atapattu","Sri Lanka",1978
"LMP Simmons","West Indies",1958
"GD Elliott","New Zealand",1932
"Shubman Gill",India,1917
"Mohammad Shahzad",Afghanistan,1911
Inzamam-ul-Haq,Pakistan,1910
"HM Nicholls","New Zealand",1910
"NJ O'Brien",Ireland,1890
"Asghar Stanikzai",Afghanistan,1876
"HE van der Dussen","South Africa",1874
"BC Lara","West Indies",1873
"MS Wade",Australia,1867
"DJG Sammy","West Indies",1853
"E Lewis","West Indies",1847
"EC Joyce",Ireland,1833
"Azhar Ali",Pakistan,1806
"AT Carey",Australia,1803
"A Vala","Papua New Guinea",1783
"Soumya Sarkar",Bangladesh,1768
"HH Pandya",India,1758
"SS Iyer",India,1753
"Haris Sohail",Pakistan,1749
"MH Cross",Scotland,1743
"DM de Silva","Sri Lanka",1722
"Hashmatullah Shahidi",Afghanistan,1709
"AT Rayudu",India,1694
"V Aravind","United Arab Emirates",1693
"Mohammad Rizwan",Pakistan,1693
"KD Karthik",India,1689
"DJ Hussey",Australia,1685
"AK Markram","South Africa",1665
"N Dickwella","Sri Lanka",1604
"MD Gunathilaka","Sri Lanka",1592
"OA Shah",England,1579
"NJ Astle","New Zealand",1571
"UT Khawaja",Australia,1554
"HT Tector",Ireland,1552
"JDP Oram","New Zealand",1546
"J Charles","West Indies",1544
"GC Wilson",Ireland,1539
"CK Kapugedera","Sri Lanka",1505
"SO Hetmyer","West Indies",1471
"Yasir Hameed",Pakistan,1459
"JDS Neesham","New Zealand",1450
"RK Paudel",Nepal,1448
"MD Patel","United States of America",1446
"MG Erasmus",Namibia,1446
"DL Vettori","New Zealand",1440
"Nasir Jamshed",Pakistan,1418
"HG Munsey",Scotland,1411
"Aaron Jones","United States of America",1410
"Rohan Mustafa","United Arab Emirates",1405
"MP Stoinis",Australia,1400
"P Nissanka","Sri Lanka",1396
"CR Woakes",England,1393
"KM Jadhav",India,1389
"MP Vaughan",England,1382
"Samiullah Shenwari",Afghanistan,1380
"T Bavuma","South Africa",1367
"Sabbir Rahman",Bangladesh,1333
"Asad Shafiq",Pakistan,1332
"JR Hopes",Australia,1326
"KMDN Kulasekara","Sri Lanka",1323
"H Klaasen","South Africa",1323
"Mashrafe Mortaza",Bangladesh,1322
"GH Dockrell",Ireland,1321
"L Ronchi","New Zealand",1321
"M Kaif",India,1314
"S Matsikenyeri",Zimbabwe,1309
"Imran Farhat",Pakistan,1284
"Nasir Hossain",Bangladesh,1281
"LPC Silva","Sri Lanka",1279
"KIC Asalanka","Sri Lanka",1272
"C Munro","New Zealand",1271
"DR Smith","West Indies",1261
"Anamul Haque",Bangladesh,1258
"MJ Santner","New Zealand",1252
"JD Ryder","New Zealand",1242
"FDM Karunaratne","Sri Lanka",1241
"RR Rossouw","South Africa",1239
"MJ Prior",England,1229
"IK Pathan",India,1226
"MA Leask",Scotland,1224
"Shahriar Nafees",Bangladesh,1216
"PG Fulton","New Zealand",1216
"Jatinder Singh",Oman,1215
"Aasif Sheikh",Nepal,1206
"RS Morton","West Indies",1205
"Waseem Muhammad","United Arab Emirates",1197
"M Labuschagne",Australia,1196
"TP Ura","Papua New Guinea",1196
"Gulbadin Naib",Afghanistan,1186
"SA Edwards",Netherlands,1185
"HH Dippenaar","South Africa",1185
"Raqibul Hasan",Bangladesh,1177
"Rashid Khan",Afghanistan,1168
"Steven Ryan Taylor","United States of America",1165
"MD Shanaka","Sri Lanka",1162
"MP O'Dowd",Netherlands,1158
"MN Waller",Zimbabwe,1144
"RW Chakabva",Zimbabwe,1131
"CD McMillan","New Zealand",1129
"JM Kemp","South Africa",1123
"P Utseya",Zimbabwe,1114
"CJ Anderson","New Zealand",1109
"JEC Franklin","New Zealand",1107
"Zeeshan Maqsood",Oman,1103
"L Vincent","New Zealand",1089
"F Behardien","South Africa",1074
"NL McCullum","New Zealand",1070
"WW Hinds","West Indies",1066
"SM Pollock","South Africa",1066
"Aftab Ahmed",Bangladesh,1061
"Shaiman Anwar","United Arab Emirates",1055
"Asif Khan","United Arab Emirates",1049
"Mehedi Hasan Miraz",Bangladesh,1046
"DJ Malan",England,1046
"SM Katich",Australia,1041
"RP Arnold","Sri Lanka",1039
"AD Russell","West Indies",1034
"JP Faulkner",Australia,1032
"DJ Mitchell","New Zealand",1025
"BA King","West Indies",1001
"WIA Fernando","Sri Lanka",990
"Imad Wasim",Pakistan,986
"G Singh","United States of America",986
"C Kieswetter",England,985
"R Powell","West Indies",979
"K Bhurtel",Nepal,976
"DS Smith","West Indies",973
"Fawad Alam",Pakistan,966
"Aqib Ilyas",Oman,961
"Rahmanullah Gurbaz",Afghanistan,958
"JN Malan","South Africa",958
"CJA Amini","Papua New Guinea",952
"KOA Powell","West Indies",948
"Chirag Suri","United Arab Emirates",946
"JM How","New Zealand",939
"MG Johnson",Australia,935
"RV Uthappa",India,934
"Habibul Bashar",Bangladesh,926
"NT Broom","New Zealand",919
"Ayan Khan",Oman,918
"SF Mire",Zimbabwe,915
"Ibrahim Zadran",Afghanistan,910
"Muhammad Usman","United Arab Emirates",901
"KH Prajapati",Oman,897
"Junaid Siddique",Bangladesh,896
"Harbhajan Singh",India,893
"JWA Taylor",England,887
"Ishan Kishan",India,886
"CP Rizwan","United Arab Emirates",883
"Naeem Islam",Bangladesh,877
"DP Conway","New Zealand",874
"S Bau","Papua New Guinea",874
"TT Bresnan",England,871
"KD Mills","New Zealand",871
"RR Pant",India,865
"B Lee",Australia,865
"TD Paine",Australia,861
"RP Burl",Zimbabwe,860
"M van Lingen",Namibia,855
"Aarif Sheikh",Nepal,855
"Rameez Shahzad","United Arab Emirates",848
"SSJ Brooks","West Indies",842
"Nazmul Hossain Shanto",Bangladesh,832
"PWH de Silva","Sri Lanka",832
"SJ Modani","United States of America",831
"VS Solanki",England,829
"VVS Laxman",India,828
"SHT Kandamby","Sri Lanka",827
"PJ Hughes",Australia,826
"AR McBrine",Ireland,826
"Basil Hameed","United Arab Emirates",817
"DS Airee",Nepal,815
"JA Rudolph","South Africa",813
"Javed Ahmadi",Afghanistan,812
"Sharjeel Khan",Pakistan,812
"YK Pathan",India,810
"Vikramjit Singh",Netherlands,808
"G Malla",Nepal,808
"MF Maharoof","Sri Lanka",799
"AC Voges",Australia,798
"CL Cairns","New Zealand",790
"AL Phehlukwayo","South Africa",781
"Sohaib Maqsood",Pakistan,781
"TM Odoyo",Kenya,779
"N Vanua","Papua New Guinea",769
"PJ Moor",Zimbabwe,769
"C Campher",Ireland,766
"RR Hendricks","South Africa",761
"CA Ingram","South Africa",761
"MG Bevan",Australia,755
"L Siaka","Papua New Guinea",749
"WA Young","New Zealand",748
"C de Grandhomme","New Zealand",742
"Wahab Riaz",Pakistan,740
"CO Obuya",Kenya,737
"BFW de Leede",Netherlands,735
"Shadab Khan",Pakistan,734
"Noor Ali Zadran",Afghanistan,734
"AU Rashid",England,729
"Shoaib Khan",Oman,726
"W Barresi",Netherlands,724
"HH Streak",Zimbabwe,722
"GO Jones",England,715
"Mohammad Mithun",Bangladesh,714
"LJ Wright",England,707
"R Ashwin",India,707
"W Madhevere",Zimbabwe,705
"TG Southee","New Zealand",699
"L Tucker",Ireland,696
"PA Patel",India,693
"SW Billings",England,690
"SO Tikolo",Kenya,689
"RL Chase","West Indies",687
"DS Lehmann",Australia,687
"AG Prince","South Africa",683
"JA Morkel","South Africa",683
"Mohammad Nadeem",Oman,681
"PL Mommsen",Scotland,674
"AG Cremer",Zimbabwe,672
"TT Samaraweera","Sri Lanka",669
"CJ Ferguson",Australia,663
"HJH Marshall","New Zealand",661
"KR Mayers","West Indies",660
"SA Yadav",India,659
"CA Soper","Papua New Guinea",653
"GB Hogg",Australia,647
"CK Coventry",Zimbabwe,645
"Abdur Razzak",Bangladesh,644
"Mosaddek Hossain",Bangladesh,634
"PSP Handscomb",Australia,632
"JN Mohammed","West Indies",630
"GW Flower",Zimbabwe,627
"Kushal Malla",Nepal,622
"Khawar Ali",Oman,620
"JM Vince",England,616
"S Samarawickrama","Sri Lanka",615
"JF Mooney",Ireland,614
"A Bagai",Canada,614
"Alok Kapali",Bangladesh,613
"Khaled Mashud",Bangladesh,605
"BMAJ Mendis","Sri Lanka",602
"RN ten Doeschate",Netherlands,594
"Simi Singh",Ireland,593
"JN Loftie-Eaton",Namibia,591
"RJ Nicol","New Zealand",586
"JL Carter","West Indies",581
"DJ Willey",England,578
"TLW Cooper",Netherlands,576
"DAS Gunaratne","Sri Lanka",575
"WD Parnell","South Africa",574
"BJ Watling","New Zealand",573
"ZE Green",Namibia,571
"Babar Hayat","Hong Kong",570
"RL Powell","West Indies",570
"WPUJC Vaas","Sri Lanka",569
"CD Wallace",Scotland,568
"MK Pandey",India,566
"J Botha","South Africa",563
"Afif Hossain",Bangladesh,562
"CR Brathwaite","West Indies",559
"Mominul Haque",Bangladesh,557
"Sandeep Goud",Oman,557
"DD Ebrahim",Zimbabwe,555
"FH Allen","New Zealand",554
"B Kumar",India,552
"N Deonarine","West Indies",546
"R Mutumbami",Zimbabwe,542
"BJ McMullen",Scotland,540
"LE Plunkett",England,536
"Nizakat Khan","Hong Kong",536
"Imran Nazir",Pakistan,531
"J Mubarak","Sri Lanka",531
"JJ Smit",Namibia,525
"RJ Peterson","South Africa",523
"K Doriga","Papua New Guinea",520
"MA Vermeulen",Zimbabwe,517
"BJ Hodge",Australia,516
"TAM Siriwardana","Sri Lanka",516
"Rajin Saleh",Bangladesh,515
"SL Malinga","Sri Lanka",513
"MG Bracewell","New Zealand",510
"SCJ Broad",England,509
"MRJ Watt",Scotland,506
"Z Khan",India,505
"L Louwrens",Namibia,502
"AR Nurse","West Indies",502
"AT Nidamanuru",Netherlands,501
"Towhid Hridoy",Bangladesh,500
"AN Petersen","South Africa",498
"NK Patel","United States of America",493
"Mohammad Rafique",Bangladesh,491
"PD Salt",England,488
"Gulsan Jha",Nepal,488
"Sompal Kami",Nepal,488
"JWM Dalrymple",England,487
"AA Obanda",Kenya,487
"SM Sharif",Scotland,485
"R McLaren","South Africa",485
"MA Starc",Australia,483
"SR Patel",England,482
"AR Patel",India,481
"Nawroz Mangal",Afghanistan,477
"GP Swann",England,475
"SW Ambris","West Indies",473
"Iftikhar Ahmed",Pakistan,472
"EC Joyce",England,471
"MA Ouma",Kenya,468
"Javed Omar",Bangladesh,468
"CH Morris","South Africa",467
"MW Machan",Scotland,461
"B Sharki",Nepal,459
"Anshuman Rath","Hong Kong",458
"Umar Gul",Pakistan,457
"Ghulam Shabber","United Arab Emirates",450
"GD Phillips","New Zealand",450
"Aayan Afzal Khan","United Arab Emirates",450
"Khurram Khan","United Arab Emirates",450
Naved-ul-Hasan,Pakistan,449
"JL Denly",England,446
"C Karunaratne","Sri Lanka",443
"JM Davison",Canada,443
"I Kaia",Zimbabwe,440
"Agha Salman",Pakistan,436
"LS Livingstone",England,436
"H Hiri","Papua New Guinea",435
"CG Williams",Namibia,427
"Dawlat Zadran",Afghanistan,426
"MN van Wyk","South Africa",425
"Amjad Ali","United Arab Emirates",422
"S Prasanna","Sri Lanka",421
"SMA Priyanjan","Sri Lanka",420
"PW Borren",Netherlands,413
"JS Malhotra","United States of America",411
"RD Shah",Kenya,407
"Suraj Kumar",Oman,401
"Sohail Tanvir",Pakistan,399
"Ahmed Raza","United Arab Emirates",397
"T Mishra",Kenya,395
"Naseem Khushi",Oman,395
"AB Barath","West Indies",394
"SV Samson",India,390
"LM Jongwe",Zimbabwe,390
"PA de Silva","Sri Lanka",390
"Aryan Lakra","United Arab Emirates",387
"AJ Hall","South Africa",387
"CM McBride",Scotland,386
"AS Joseph","West Indies",384
"SM Curran",England,383
"Asif Ali",Pakistan,382
"CS Baugh","West Indies",382
"SR Mukkamalla","United States of America",381
"KU Carty","West Indies",374
"MR Adair",Ireland,371
"K Verreynne","South Africa",371
"SJ Myburgh",Netherlands,370
"C Green",Australia,370
"IG Holland","United States of America",368
"PJ Forrest",Australia,368
"LV van Beek",Netherlands,367
"S Lamichhane",Nepal,367
"MS Sinclair","New Zealand",367
"DT Johnston",Ireland,367
"KM Dabengwa",Zimbabwe,364
"DT Tiripano",Zimbabwe,364
"Usman Ghani",Afghanistan,364
"SP Narine","West Indies",363
"Mohammad Amir",Pakistan,363
"Hasan Ali",Pakistan,363
"Mohammad Saifuddin",Bangladesh,362
"DW Steyn","South Africa",361
Hazratullah,Afghanistan,361
"DG Brownlie","New Zealand",361
"CB Wishart",Zimbabwe,361
"Karan KC",Nepal,358
"NP Kenjige","United States of America",357
"T Thushara","Sri Lanka",357
"MA Jones",Scotland,354
"AB Agarkar",India,352
"PJ Cummins",Australia,345
"Nasir Jamal",Afghanistan,344
"Ashfaq Ahmed","United Arab Emirates",343
"JN Frylinck",Namibia,340
"M Vijay",India,339
"NV Knight",England,339
"Shayan Jahangir","United States of America",338
"R Rampaul","West Indies",338
"Mohammad Naveed","United Arab Emirates",336
"Rashid Latif",Pakistan,335
"K Rabada","South Africa",335
"HP Tillakaratne","Sri Lanka",332
"SS Pathirana","Sri Lanka",332
"A Flower",Zimbabwe,332
"KA Edwards","West Indies",331
"Adnan Mufti","United Arab Emirates",330
"SN Thakur",India,329
"R Hekure","Papua New Guinea",328
"MH Yardy",England,326
"SJ Baard",Namibia,326
"Mohammad Nawaz (3)",Pakistan,325
"Saeed Ajmal",Pakistan,324
"D Mongia",India,324
"MO Odumbe",Kenya,324
"AC Agar",Australia,322
"DA Gunawardene","Sri Lanka",322
"Anwar Ali",Pakistan,321
"SM Ervine",Zimbabwe,321
"KMA Paul","West Indies",320
"M Muralitharan","Sri Lanka",317
"Farhad Reza",Bangladesh,316
"RW Price",Zimbabwe,315
"D la Cock",Namibia,313
"TK Musakanda",Zimbabwe,308
"KAJ Roach","West Indies",308
Ihsanullah,Afghanistan,307
"CN Greaves",Scotland,307
"ADS Fletcher","West Indies",305
"TK Curran",England,303
"DO Obuya",Kenya,302
"AR White",Ireland,301
"LE Bosman","South Africa",299
Shafiqullah,Afghanistan,299
"PA Nixon",England,297
"GS Ballance",England,297
"NM Hauritz",Australia,295
"AS Hansra",Canada,295
"DLS van Bunge",Netherlands,293
"P Kumar",India,292
"A Dananjaya","Sri Lanka",291
"SMSM Senanayake","Sri Lanka",290
"R Trumpelmann",Namibia,290
"JH Davey",Scotland,287
"AJ Stewart",England,287
"MK Tiwary",India,287
"BG Rogers",Zimbabwe,287
"AF Giles",England,286
"AM Blignaut",Zimbabwe,284
"R Shepherd","West Indies",283
"Khaled Mahmud",Bangladesh,283
"Kashif Daud","United Arab Emirates",282
"S Dhaniram",Canada,281
"S Chattergoon","West Indies",281
"ES Szwarczynski",Netherlands,281
"Hannan Sarkar",Bangladesh,280
"S Randiv","Sri Lanka",280
"NO Miller","West Indies",279
"KC Brathwaite","West Indies",278
"MD Dai","Papua New Guinea",277
"B Bhandari",Nepal,275
"Moin Khan",Pakistan,274
"DT Christian",Australia,273
"GH Worker","New Zealand",272
"Umar Amin",Pakistan,271
"JW Hastings",Australia,271
"SM Pollock","Africa XI",269
"NFI McCallum",Scotland,269
"G Toka","Papua New Guinea",268
"DL Hemp",Bermuda,268
"AR Cusack",Ireland,268
"Shamsur Rahman",Bangladesh,266
"AJ Hosein","West Indies",266
"AC Botha",Ireland,265
"M Jansen","South Africa",265
"Taufeeq Umar",Pakistan,262
"PM Seelaar",Netherlands,262
"UDU Chandana","Sri Lanka",260
"IJ Harvey",Australia,259
"IDR Bradshaw","West Indies",259
"JE Taylor","West Indies",258
"AJ Bichel",Australia,258
"R Gunasekera",Canada,255
"JM Anderson",England,254
"D Khanal",Nepal,253
"P Khadka",Nepal,252
"NM Coulter-Nile",Australia,252
"Manjural Islam Rana",Bangladesh,251
"Tushar Imran",Bangladesh,250
"KO Otieno",Kenya,250
"DA Marillier",Zimbabwe,249
"JD Campbell","West Indies",248
"Mohammad Sami",Pakistan,246
"RR Watson",Scotland,245
"AD Mascarenhas",England,245
"RAS Lakmal","Sri Lanka",244
"SM Davies",England,244
"HJW Gardiner",Scotland,243
"ML Udawatte","Sri Lanka",243
"Musa Ahmed",Netherlands,241
"DF Watts",Scotland,240
"M Morkel","South Africa",239
"Ikram Alikhil",Afghanistan,238
"Amjad Javed","United Arab Emirates",238
"DC Thomas","West Indies",238
"HN Ya France",Namibia,237
"DE Budge",Scotland,237
"A Zampa",Australia,237
"I Udana","Sri Lanka",237
"GJ Hopkins","New Zealand",236
"MJ Henry","New Zealand",236
"Afsar Zazai",Afghanistan,235
"GJ Delany",Ireland,234
"JP Bray",Ireland,234
"Abid Ali",Pakistan,234
"Washington Sundar",India,233
"AM Tribe",Jersey,233
"K Birkenstock",Namibia,233
"STR Binny",India,230
"MS Chapman","New Zealand",229
"SA Abbott",Australia,228
"SR Thompson",Ireland,228
"TM Dowlin","West Indies",228
"Jahurul Islam",Bangladesh,226
"AM Samad",Canada,226
"D Wiese",Namibia,226
"RM Haq",Scotland,225
"Faheem Ashraf",Pakistan,224
"T Duffin",Zimbabwe,224
"BR McDermott",Australia,223
"IS Billcliff",Canada,223
"V Shankar",India,223
"PVD Chameera","Sri Lanka",223
"DAJ Bracewell","New Zealand",221
"Jasdeep Singh","United States of America",219
"DR Chumney",Canada,219
"P Mustard",England,219
"Karim Sadiq",Afghanistan,219
"Saeed Anwar",Pakistan,218
"DPMD Jayawardene","Asia XI",217
"XM Marshall","United States of America",216
"KM Jarvis",Zimbabwe,215
"TA Blundell","New Zealand",214
"GM Hamilton",Scotland,214
"LOB Cann",Bermuda,214
"N Boje","South Africa",212
"BJ McCarthy",Ireland,212
"DJM Short",Australia,211
"CN Ackermann",Netherlands,211
"Mohammed Shami",India,210
"S Fouché",Namibia,209
"T Panyangara",Zimbabwe,208
"Mushfiqur Rahman",Bangladesh,208
"Khurram Manzoor",Pakistan,206
"WS Jayantha","Sri Lanka",206
"TL Chatara",Zimbabwe,206
"HS Modi",Kenya,205
"Ali Naseer","United Arab Emirates",204
"Iftikhar Anjum",Pakistan,203
"CZ Harris","New Zealand",203
"JJ Tucker",Bermuda,203
"DL Chahar",India,203
"Pargat Singh",Canada,202
"IS Sodhi","New Zealand",201
"Shoaib Akhtar",Pakistan,200
"Khushdil Shah",Pakistan,200
"FA Allen","West Indies",200
"Mirwais Ashraf",Afghanistan,199
"Saleem Elahi",Pakistan,199
"AJ Burger",Namibia,199
"OF Smith","West Indies",199
"GA Lamb",Zimbabwe,197
"Rizwan Cheema",Canada,196
"IA Karim",Kenya,196
"GSNFG Jayasuriya","Sri Lanka",195
"TA Boult","New Zealand",195
"AP Devcich","New Zealand",195
"DN Wellalage","Sri Lanka",195
"BM Duckett",England,194
"AN Kervezee",Netherlands,193
"PJ Ingram","New Zealand",193
"D Pretorius","South Africa",192
"AJ Turner",Australia,192
"GB Brent",Zimbabwe,192
"J Gumbie",Zimbabwe,190
"CJ McKay",Australia,190
"R Ravindra","New Zealand",189
"PP Shaw",India,189
"NN Odhiambo",Kenya,189
"TJ Murtagh",Ireland,188
"JA McCollum",Ireland,188
"DR Tuffey","New Zealand",188
"K Gore","United States of America",188
"EJG Morgan",Ireland,188
"BB Chari",Zimbabwe,186
"G Kirsten","South Africa",186
"BAW Mendis","Sri Lanka",185
"Mujeeb Ur Rahman",Afghanistan,185
"CJ Jordan",England,184
"Sohag Gazi",Bangladesh,184
"Tanwir Afzal","Hong Kong",183
"F Mutizwa",Zimbabwe,183
"Mehrab Hossain jnr",Bangladesh,183
"SJ Benn","West Indies",182
"ND McKenzie","South Africa",182
"Saqib Zulfiqar",Netherlands,181
"JT Smuts","South Africa",180
"DM Richards","West Indies",179
"B Zuiderent",Netherlands,178
"NR Kumar",Canada,177
"JAD Lawrenson",Jersey,177
"Mohammad Boota","United Arab Emirates",176
"H Patel",Canada,176
"AF Milne","New Zealand",175
"IH Romaine",Bermuda,175
"A Saud",Nepal,174
Raza-ur-Rehman,Canada,174
"MS Dhoni","Asia XI",174
"NW Bracken",Australia,174
"C Madande",Zimbabwe,173
"SE Bond","New Zealand",173
"CJO Smith",Scotland,172
"JK Kamande",Kenya,171
"CT Mutombodzi",Zimbabwe,171
"CRD Fernando","Sri Lanka",170
"TSS Mackintosh",Scotland,169
"Kuldeep Yadav",India,168
"RR Patel",Kenya,168
"DR Flynn","New Zealand",167
"A Sharafu","United Arab Emirates",167
"Nurul Hasan",Bangladesh,165
"AR Adams","New Zealand",165
"MJ Lumb",England,165
"BM Scholtz",Namibia,164
"KS Lokuarachchi","Sri Lanka",164
"T Maruma",Zimbabwe,164
"D Bishoo","West Indies",164
"KP Meiyappan","United Arab Emirates",163
"L Klusener","South Africa",163
"JC Tredwell",England,163
"Shan Masood",Pakistan,163
"JP Kotze",Namibia,163
"XM Marshall","West Indies",163
"SW Poynter",Ireland,162
"FRJ Coleman",Scotland,162
"ST Doheny",Ireland,162
"Y Venugopal Rao",India,161
"KA Maharaj","South Africa",161
"R Ngarava",Zimbabwe,160
"Akshay Homraj","United States of America",159
"J Kila","Papua New Guinea",159
"GS Ballance",Zimbabwe,157
"T Marumani",Zimbabwe,157
"Imran Tahir","South Africa",157
"RR Powar",India,156
"SP Patil","United Arab Emirates",156
"CMW Read",England,156
"A McGrath",England,155
"C Zhuwao",Zimbabwe,154
"AM Ellis","New Zealand",154
"DJ Hooda",India,153
"AJ Redmond","New Zealand",152
"D Ganga","West Indies",152
"MDK Perera","Sri Lanka",152
"VD Philander","South Africa",151
"Taskin Ahmed",Bangladesh,150
"PJ Ongondo",Kenya,150
"AA Mulla",Canada,150
"JF Kloppenburg",Netherlands,149
"BN Cooper",Netherlands,148
"Aizaz Khan","Hong Kong",148
"BOP Fernando","Sri Lanka",148
"Khalid Latif",Pakistan,147
"MV Boucher","Africa XI",147
Nazimuddin,Bangladesh,147
"JA Burns",Australia,146
"K Zondo","South Africa",146
"ID Blackwell",England,146
"CO Browne","West Indies",144
"J Anderson",Ireland,144
"JP Inglis",Australia,143
"MB Loye",England,142
"VV Morea","Papua New Guinea",142
"RD Jacobs","West Indies",142
"KNA Bandara","Sri Lanka",141
"EH Hutchinson","United States of America",141
"CAH Stevenson","United States of America",141
"DE Bernard","West Indies",141
"Shaheen Shah Afridi",Pakistan,141
"KJJ van Noortwijk",Netherlands,141
"M Bhanuka","Sri Lanka",140
"Zahoor Khan","United Arab Emirates",140
"HMRKB Herath","Sri Lanka",140
"Rubel Hossain",Bangladesh,140
"KA Hope","West Indies",138
"D Gough",England,137
"Azmatullah Omarzai",Afghanistan,137
"ST Finn",England,136
"TS Chisoro",Zimbabwe,136
"Aryansh Sharma","United Arab Emirates",136
"HK Badani",India,135
"SN Netravalkar","United States of America",135
"T Banton",England,134
"PA Browne","West Indies",134
"Shafiul Islam",Bangladesh,134
"Faisal Iqbal",Pakistan,134
"RN Lewis","West Indies",134
"Zawar Farid","United Arab Emirates",132
"Abdur Rehman",Pakistan,132
"D Keulder",Namibia,132
"Fayyaz Butt",Oman,132
"TJ Friend",Zimbabwe,132
"V Sehwag","Asia XI",131
"Bazid Khan",Pakistan,131
"D Bau","Papua New Guinea",130
"KH Pandya",India,130
"HMCM Bandara","Sri Lanka",130
"WP Masakadza",Zimbabwe,130
"HDPK Dharmasena","Sri Lanka",129
"Mohammad Shahzad (2)","United Arab Emirates",128
"HR Walsh","West Indies",128
"D Ravu","Papua New Guinea",128
"Nafees Iqbal",Bangladesh,128
"ZE Surkari",Canada,127
"PHKD Mendis","Sri Lanka",127
